method,query_idx,query_sample_id,query_fq_GHz,query_fr_GHz,query_chi_MHz,query_g_MHz,query_kappa_MHz,rank,retrieved_sample_id,retrieved_fq_GHz,retrieved_fr_GHz,retrieved_chi_MHz,retrieved_g_MHz,retrieved_kappa_MHz,distance_or_cost,error_fq,error_fr,error_chi,error_g,error_kappa
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,1,fig5_cg2p0um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.88081947033,6.29200362079,4.710222612869263,215.78136757047287,6.007573423867593,0.2805169097106886,0.004708797989999347,0.01959988099000043,0.1593346027793885,5.61979377041132,0.030484432377665627
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,2,fig5_cg1p5um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87620084481,6.26170388145,4.99363361734581,218.7024888594067,5.970534325619533,0.49403900395303363,9.017246999931672e-05,0.010699858349999758,0.4427456072559357,8.540915059345167,0.06752353062572602
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,3,fig5_cg3p0um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.89777742204,6.34923094667,4.391671866830825,213.14051325530752,6.096625432754106,0.5895747574549728,0.0216667496999996,0.07682720687,0.15921614325904887,2.9789394552459783,0.05856757650884692
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,4,fig5_cg2p5um_rpg3p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.8216114018,6.30639910885,4.078658870691299,212.78053759295764,5.96985922957307,0.8247870618371053,0.05449927054000003,0.033995369050000335,0.4722291393985749,2.6189637928960963,0.06819862667218857
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,5,fig5_cg3p5um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.85348773769,6.38790903463,4.356288998512268,225.5893196577544,6.102737650921461,0.9292909129200294,0.022622934650000204,0.11550529483000016,0.19459901157760662,15.427745857692855,0.06467979467620211
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,6,fig5_cg2p0um_rpg3p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.92988654864,6.34828832398,4.071626393825531,199.5447640637109,5.952483565984568,0.9943535160965719,0.05377587629999958,0.07588458418000066,0.4792616162643437,10.61680973635066,0.0855742902606913
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,7,fig5_cg2p5um_rpg3p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.90933450729,6.40357690957,3.7329917837715145,201.2880257934344,6.003674917928219,1.0166154471408437,0.033223834949999365,0.13117316977000026,0.8178962263183598,8.873548006627146,0.03438293831703998
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,8,fig5_cg2p0um_rpg3p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.90691227134,6.26460466713,4.076762608140945,192.584502898011,5.878506475506168,1.0526837809557505,0.030801599000000124,0.007799072669999241,0.47412540194892916,17.577070902050536,0.15955138073909136
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,9,fig5_cg5p0um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.81774089875,6.23547817573,4.9252252214355465,224.50085102947097,5.919781007367641,1.072656706042435,0.05836977358999995,0.036925564069999695,0.3743372113456722,14.339277229409419,0.1182768488776178
NearestNeighbors,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,10,fig5_cg2p5um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.82985966256,6.3640851834,4.45615377314949,229.1245415394613,6.124821045393385,1.0795077938463646,0.04625100978000063,0.09168144360000063,0.09473423694038452,18.962967739399744,0.08676318914812597
